,borough,year,all_ages,minor,18_24,25_34,35_44,45_54,55_64,65+,houses_sold,average_price,all_ages_change,all_ages_pct_change,minor_change,minor_pct_change,18_24_change,18_24_pct_change,25_34_change,25_34_pct_change,35_44_change,35_44_pct_change,45_54_change,45_54_pct_change,55_64_change,55_64_pct_change,65+_change,65+_pct_change,houses_sold_change,houses_sold_pct_change,average_price_change,average_price_pct_change
62,bromley,2008,304968,67860,21395,39297,49362,41380,35291,50383,3729,277727,2343.0,0.007742255266418807,264.0,0.0039055565418071314,630.0,0.03033951360462317,165.0,0.004216498006746505,-189.0,-0.0038142519828056054,1210.0,0.030121981578292267,-79.0,-0.0022335312411648767,342.0,0.006834395795447756,-4239.0,-0.5320030120481928,497.0,0.0017927352739601776
63,bromley,2009,306924,68139,21990,38990,48536,42818,35457,50994,3906,249909,1956.0,0.006413787676084137,279.0,0.004111405835543813,595.0,0.02781023603645716,-307.0,-0.007812301193475313,-826.0,-0.01673351971151893,1438.0,0.034751087481875276,166.0,0.00470374883114677,611.0,0.012127106365242168,177.0,0.047465808527755504,-27818.0,-0.10016310981647447
64,bromley,2010,308560,68314,22381,38822,47765,44186,35498,51594,4379,271049,1636.0,0.005330309783529552,175.0,0.00256827954622163,391.0,0.01778080945884497,-168.0,-0.004308797127468567,-771.0,-0.015885116202406513,1368.0,0.031949180251296116,41.0,0.0011563302027808309,600.0,0.011766090128250362,473.0,0.1210957501280081,21140.0,0.08459079104794154
65,bromley,2011,310554,68658,22699,39017,46974,45319,35485,52402,4335,274874,1994.0,0.006462276380606591,344.0,0.005035571039611275,318.0,0.014208480407488455,195.0,0.005022925145536039,-791.0,-0.01656024285564739,1133.0,0.025641605938532486,-13.0,-0.00036621781508816564,808.0,0.01566073574446647,-44.0,-0.01004795615437315,3825.0,0.014111839556685268
66,bromley,2012,314036,69595,22817,39776,46717,46448,34542,54141,4845,282025,3482.0,0.011212220740998369,937.0,0.013647353549477215,118.0,0.005198466892814668,759.0,0.019453058923033506,-257.0,-0.005471111678800988,1129.0,0.024912288444140396,-943.0,-0.026574608989713977,1739.0,0.03318575626884468,510.0,0.11764705882352944,7151.0,0.026015556218485614
67,bromley,2013,317899,70449,22751,40502,46928,47416,34444,55409,5486,296669,3863.0,0.012301137449209687,854.0,0.012270996479632146,-66.0,-0.002892580093789676,726.0,0.018252212389380462,211.0,0.004516557141939659,968.0,0.02084050981743024,-98.0,-0.002837125817844899,1268.0,0.023420328401765778,641.0,0.13230134158926732,14644.0,0.05192447478060447
68,bromley,2014,321278,71473,22294,41109,47295,48265,34501,56341,6169,347857,3379.0,0.010629162092362643,1024.0,0.014535337620122268,-457.0,-0.02008702914157623,607.0,0.014986914226458037,367.0,0.007820490964882465,849.0,0.01790534840560154,57.0,0.0016548600627104282,932.0,0.016820372141709727,683.0,0.12449872402479034,51188.0,0.17254246314916633
69,bromley,2015,324857,72201,22701,41478,47759,48829,35093,56796,6054,385681,3579.0,0.011139885083945922,728.0,0.01018566451667069,407.0,0.018256033013366757,369.0,0.008976136612420582,464.0,0.00981076223702293,564.0,0.011685486377291943,592.0,0.01715892292977017,455.0,0.00807582400028406,-115.0,-0.01864159507213492,37824.0,0.10873433623586704
70,camden,2002,203972,36714,24275,51598,32713,21140,16244,21288,3851,314179,,,,,,,,,,,,,,,,,,,,
71,camden,2003,204254,36635,24403,50990,33013,21162,16725,21326,3150,323053,282.0,0.0013825427019393821,-79.0,-0.0021517677180367123,128.0,0.005272914521112337,-608.0,-0.011783402457459569,300.0,0.009170666096047553,22.0,0.001040681173131608,481.0,0.02961093326766817,38.0,0.0017850432168358132,-701.0,-0.18203064139184633,8874.0,0.02824504502210523
72,camden,2004,207341,37066,25702,51267,33592,21265,17099,21350,3760,351847,3087.0,0.015113535108247644,431.0,0.0117647058823529,1299.0,0.053231160103266006,277.0,0.005432437732888706,579.0,0.017538545421500684,103.0,0.004867214819015198,374.0,0.022361733931240746,24.0,0.0011253868517302479,610.0,0.19365079365079363,28794.0,0.08913088564415128
73,camden,2005,211088,37679,26233,52426,34434,21540,17395,21381,3319,368345,3747.0,0.018071679021515186,613.0,0.016538067231425035,531.0,0.02065987082717302,1159.0,0.02260713519417945,842.0,0.025065491783758054,275.0,0.012932047966141447,296.0,0.017310953856950695,31.0,0.0014519906323184895,-441.0,-0.11728723404255315,16498.0,0.04688969921585229
74,camden,2006,211032,37761,25895,51773,34631,21988,17599,21385,4156,394819,-56.0,-0.0002652922004092728,82.0,0.0021762785636560977,-338.0,-0.012884534746311904,-653.0,-0.012455651775836407,197.0,0.005721089620723596,448.0,0.020798514391829226,204.0,0.011727507904570222,4.0,0.0001870819886815589,837.0,0.2521843928894245,26474.0,0.0718728366069854
75,camden,2007,211520,37835,26020,51005,34894,22123,17996,21647,3630,466485,488.0,0.0023124455058949334,74.0,0.0019596938640396022,125.0,0.0048271867155822434,-768.0,-0.014833986827110679,263.0,0.007594351881262451,135.0,0.00613971257049295,397.0,0.022558099892039385,262.0,0.012251578209025116,-526.0,-0.12656400384985567,71666.0,0.18151608711840117
76,camden,2008,210273,38012,25006,50051,34725,22433,18085,21961,2052,501223,-1247.0,-0.005895423600605132,177.0,0.0046782080084577515,-1014.0,-0.03897002305918529,-954.0,-0.018704048622684044,-169.0,-0.0048432395254198735,310.0,0.014012566107670654,89.0,0.004945543454100809,314.0,0.014505474199658197,-1578.0,-0.43471074380165287,34738.0,0.07446756058608539
